id,일자리,이윤(억),탄소,거주성,저렴한집(%),오픈(%),일자리점,이윤점,탄소점,거주성점,저렴한집점,구간합,RFP감점,RFP통과,RFP미달,지표합
S0823,1360,53.2,12.7,100,75.0,23.5,4,6,8,10,10,38,0,1,,38
S0824,2484,88.0,20.0,96,80.0,23.5,8,8,6,10,10,42,0,1,,42
S0825,2138,46.6,20.7,96,75.0,21.4,6,6,6,10,10,38,0,1,,38
S0826,1706,49.5,6.1,82,0.0,17.3,6,6,10,6,0,28,3,0,affordable,25
S0827,1644,84.8,27.9,80,10.0,19.4,4,8,4,6,2,24,0,1,,24
S0828,2300,61.2,12.1,100,75.0,33.2,8,8,8,10,10,44,0,1,,44
S0829,1456,5.5,3.2,100,90.0,22.4,4,2,10,10,10,36,0,1,,36
S0830,1677,90.9,26.5,89,50.0,15.3,4,8,4,8,10,34,0,1,,34
S0831,2669,125.7,20.5,77,5.0,19.9,8,10,6,4,0,28,3,0,affordable,25
S0832,2870,142.2,29.5,83,20.0,15.3,10,10,4,6,4,34,0,1,,34
S0833,1260,87.6,26.2,75,30.0,10.7,2,8,4,4,6,24,3,0,jobs,21
S0834,2056,97.2,19.3,88,30.0,19.9,6,8,6,8,6,34,0,1,,34
S0835,2240,103.8,28.3,89,65.0,16.8,8,10,4,8,10,40,0,1,,40
S0836,2802,121.3,22.8,92,45.0,19.4,10,10,4,8,10,42,0,1,,42
S0837,2664,80.0,15.2,90,25.0,33.7,8,8,6,8,6,36,0,1,,36
S0838,1489,12.6,13.2,100,100.0,28.6,4,4,8,10,10,36,0,1,,36
S0839,1876,136.7,19.8,83,15.0,15.3,6,10,6,6,4,32,0,1,,32
S0840,2120,88.3,13.1,100,70.0,32.7,6,8,8,10,10,42,0,1,,42
S0841,1501,37.4,4.4,81,0.0,19.9,4,6,10,6,0,26,3,0,affordable,23
S0842,2634,125.8,25.6,75,20.0,10.7,8,10,4,4,4,30,0,1,,30
S0843,1160,52.0,6.7,94,25.0,23.0,2,6,10,8,6,32,3,0,jobs,29
S0844,2224,100.2,27.4,77,80.0,5.6,8,10,4,4,10,36,3,0,openSpace,33
S0845,2468,117.1,25.4,79,30.0,11.2,8,10,4,4,6,32,0,1,,32
S0846,2926,141.6,19.3,83,0.0,25.0,10,10,6,6,0,32,3,0,affordable,29
S0847,2740,151.7,26.6,69,20.0,7.7,8,10,4,0,4,26,6,0,openSpace|livability,20
S0848,1666,91.6,17.7,85,25.0,19.9,4,8,6,6,6,30,0,1,,30
S0849,2142,101.1,21.6,86,25.0,16.8,6,10,6,6,6,34,0,1,,34
S0850,2122,88.2,14.3,100,45.0,29.6,6,8,8,10,10,42,0,1,,42
S0851,2212,88.6,20.8,93,85.0,15.8,8,8,6,8,10,40,0,1,,40
S0852,2190,100.4,17.1,86,10.0,24.0,6,10,6,6,2,30,0,1,,30
S0853,1916,52.4,11.6,100,50.0,35.2,6,6,8,10,10,40,0,1,,40
S0854,2560,83.7,22.4,86,15.0,23.0,8,8,4,6,4,30,0,1,,30
S0855,2560,110.2,19.8,97,40.0,21.4,8,10,6,10,8,42,0,1,,42
S0856,3431,163.3,31.8,71,60.0,4.6,10,10,2,2,10,34,3,0,openSpace,31
S0857,2168,105.9,20.5,77,0.0,16.3,6,10,6,4,0,26,3,0,affordable,23
S0858,1832,82.0,26.6,86,20.0,32.7,6,8,4,6,4,28,0,1,,28
S0859,2570,126.7,15.5,81,5.0,25.5,8,10,6,6,0,30,3,0,affordable,27
S0860,1660,62.0,15.0,100,50.0,25.5,4,8,8,10,10,40,0,1,,40
S0861,2044,94.0,29.5,89,30.0,23.5,6,8,4,8,6,32,0,1,,32
S0862,1798,28.0,0.0,100,80.0,29.1,6,4,10,10,10,40,0,1,,40
S0863,2827,116.3,23.7,92,65.0,18.4,10,10,4,8,10,42,0,1,,42
S0864,2284,109.9,29.8,70,80.0,3.1,8,10,4,2,10,34,3,0,openSpace,31
S0865,1828,69.8,28.7,89,95.0,16.3,6,8,4,8,10,36,0,1,,36
S0866,2992,130.8,27.0,89,85.0,15.8,10,10,4,8,10,42,0,1,,42
S0867,1752,64.9,10.2,96,30.0,32.1,6,8,8,10,6,38,0,1,,38
S0868,2380,66.3,27.6,84,15.0,30.6,8,8,4,6,4,30,0,1,,30
S0869,2580,92.3,30.9,93,65.0,24.5,8,8,2,8,10,36,0,1,,36
S0870,1258,53.4,16.5,79,90.0,6.1,2,6,6,4,10,28,6,0,jobs|openSpace,22
